ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"188.94.225.45","elite","AS196798","RU","Mifril+ LLC","52","NLT Sub90","8080","socks4","554","1","2023-01-15T11:07:57.422Z","100","782","782"
"203.76.121.237","elite","AS23688","BD","Link3 Technologies Limited","212","Corporate Subscriber","4145","socks4","234","1","2023-01-15T11:07:56.610Z","95","793","833"
"210.2.149.91","elite","AS23966","PK","LINKdotNET Telecom Limited","156","Dancom ISB","5678","socks4","708","1","2023-01-15T11:07:56.264Z","99","769","778"
"167.71.199.211","elite","AS14061","SG","DigitalOcean, LLC","156","DigitalOcean, LLC","34305","http","640","580","2023-01-15T11:07:56.583Z","99","717","721"
"171.35.172.147","elite","AS4837","CN","China Unicom Jiangxi Province Network","188","N/A","9999","socks4","346","1","2023-01-15T11:07:56.569Z","82","589","719"
"104.18.103.125","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","83","1","2023-01-15T11:07:56.505Z","100","758","758"
"113.99.188.254","elite","AS4134","CN","Chinanet","225","Chinanet GD","4153","socks4","693","1","2023-01-15T11:07:56.492Z","62","512","822"
"176.214.97.13","anonymous","AS21353","RU","Enforta-MSK","66","N/A","8081","https","334","135","2023-01-15T11:07:56.555Z","100","839","839"
"59.58.120.122","elite","AS4134","CN","Chinanet","193","Chinanet FJ","7302","socks5","651","1","2023-01-15T11:07:56.098Z","97","815","837"
"65.108.88.4","anonymous","AS24940","FI","Hetzner Online GmbH","38","Hetzner Online GmbH","3128","http","233","151","2023-01-15T11:07:56.597Z","100","720","722"
"139.59.231.1","elite","AS14061","SG","DIGITALOCEAN","157","DigitalOcean, LLC","28536","socks5","592","1","2023-01-15T11:07:56.099Z","100","764","765"
"197.234.13.27","elite","AS36902","SC","Intelvision","179","Intelvision Ltd","4145","socks4","289","1","2023-01-15T11:07:56.762Z","99","731","736"
"75.119.206.112","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks5","513","1","2023-01-15T11:07:56.415Z","100","820","820"
"66.42.52.194","elite","AS20473","SG","The Constant Company, LLC","187","Choopa, LLC","49163","socks4","564","1","2023-01-15T11:07:56.095Z","99","788","795"
"207.180.218.96","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","80","http","710","123","2023-01-15T11:07:56.437Z","100","786","787"
"198.251.89.198","elite","AS53667","LU","FranTech Solutions","24","FranTech Solutions","51675","socks5","728","1","2023-01-15T11:07:56.321Z","100","720","720"
"185.25.119.15","elite","AS200000","UA","Hosting Ukraine LTD","44","new Hosting","13959","socks5","687","1","2023-01-15T11:07:56.318Z","84","639","760"
"103.117.108.89","elite","AS137935","BD","I Link Internet Service (I.T)","195","I Link Internet Service (I.T)","4153","socks4","301","1","2023-01-15T11:07:56.762Z","97","759","781"
"70.186.128.126","anonymous","AS22773","US","Cox Communications Inc.","121","Allegiance Communications, LLC","8080","http","378","278","2023-01-15T11:07:56.763Z","99","712","719"
"92.51.78.66","elite","AS44327","GE","T-net Network","74","N/A","4153","socks4","215","1","2023-01-15T11:07:56.612Z","98","820","838"
"203.13.32.236","elite","AS209242","CY","Cloudflare London, LLC","2","Lachtaristo Holdings Limited","80","socks4","216","1","2023-01-15T11:07:56.430Z","100","732","732"
"104.168.234.148","elite","AS54290","US","Hostwinds LLC.","137","Hostwinds LLC","3128","socks4","79","1","2023-01-15T11:07:56.763Z","75","597","793"
"50.47.75.216","elite","AS20055","US","Wholesail networks LLC","147","Ziply Fiber","5678","socks4","224","1","2023-01-15T11:07:56.611Z","100","798","798"
"198.199.76.62","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","40073","socks5","529","1","2023-01-15T11:07:55.626Z","100","750","752"
"212.83.137.150","elite","AS12876","FR","Online S.A.S.","2","ONLINE","41606","socks4","422","1","2023-01-15T11:07:55.071Z","100","759","759"
"202.21.115.94","elite","AS9484","MN","Mobinet LLC","125","N/A","44574","socks4","233","1","2023-01-15T11:07:55.608Z","100","820","821"
"62.201.212.198","elite","AS44217","IQ","NETWORKS-SULY1","78","N/A","4673","socks4","443","1","2023-01-15T11:07:55.417Z","99","830","840"
"185.25.119.98","elite","AS200000","UA","Hosting Ukraine LTD","41","new Hosting","43725","socks5","570","1","2023-01-15T11:07:55.625Z","100","781","781"
"185.189.186.19","elite","AS59497","UA","buknet","49","N/A","1080","socks4","252","1","2023-01-15T11:07:55.607Z","86","623","722"
"103.14.20.225","elite","AS131717","ID","PT Citra Jelajah Informatika","185","Sony Sugema College","5678","socks4","367","1","2023-01-15T11:07:55.606Z","99","810","821"
"177.131.29.214","elite","AS262378","BR","Compuservice Empreendimentos Ltda","193","Compuservice Empreendimentos Ltda","4153","socks4","57","1","2023-01-15T11:07:55.611Z","99","712","720"
"139.59.128.40","elite","AS14061","DE","DIGITALOCEAN","23","DigitalOcean, LLC","2016","socks5","104","1","2023-01-15T11:07:55.609Z","100","825","825"
"51.83.116.4","elite","AS16276","FR","OVH SAS","5","OVH","17105","socks4","410","1","2023-01-15T11:07:55.071Z","100","749","749"
"201.140.238.231","elite","AS266148","BR","Mais Fibra Telecomunicacao Ltda","189","Mais Fibra Telecomunicacao Ltda","5678","socks4","419","1","2023-01-15T11:07:55.256Z","99","829","838"
"221.143.248.55","elite","AS9318","KR","SK Broadband Co Ltd","247","SK Broadband Co Ltd","3128","socks5","554","1","2023-01-15T11:07:55.623Z","100","796","798"
"197.251.236.227","elite","AS29614","GH","Vodafone Ghana AS International Transit","134","ADSL FBB static IP","5678","socks4","735","1","2023-01-15T11:07:54.407Z","100","783","785"
"14.142.20.134","elite","AS4755","IN","Tata Communications Limited","223","Tata Communications Limited","4145","socks4","424","1","2023-01-15T11:07:54.563Z","100","837","839"
"191.6.133.23","elite","AS263305","BR","NET.COM TELECOMUNICACOES EIRELI","174","RCS TELECOMUNICACOES LTDA","4145","socks4","727","1","2023-01-15T11:07:54.407Z","97","813","838"
"103.107.94.2","elite","AS135683","IN","Netncr Technology Pvt Ltd","142","Netncr Technology Pvt Ltd","44578","socks4","363","1","2023-01-15T11:07:54.910Z","100","778","779"
"89.252.12.123","elite","AS31148","UA","FREENET","36","N/A","5678","socks4","864","1","2023-01-15T11:07:54.233Z","75","606","805"
"103.105.40.129","elite","AS137143","IN","Minnal Digital Network Private Limited","162","Minnal Digital Network Private Limited","4145","socks4","383","1","2023-01-15T11:07:54.907Z","100","822","825"
"115.85.86.114","elite","AS23953","ID","Sudirman Central Business District","193","N/A","5678","socks4","463","1","2023-01-15T11:07:54.410Z","98","751","764"
"200.106.216.66","elite","AS271250","BR","TOP INFORMATICA TELECON LTDA","195","TOP INFORMATICA TELECON LTDA","63253","socks4","396","1","2023-01-15T11:07:54.735Z","97","811","834"
"196.43.97.114","elite","AS37183","ZW","AfOL-Zw","196","N/A","5678","socks4","681","1","2023-01-15T11:07:54.409Z","99","828","839"
"103.205.128.33","elite","AS134850","IN","WAY 2 INTERNET PRIVATE LIMITED","112","WAY 2 Internet Private Limited","4303","socks4","321","1","2023-01-15T11:07:54.914Z","100","803","803"
"119.28.223.220","elite","AS132203","HK","ComsenzNet","244","Tencent cloud computing (Beijing) Co., Ltd.","5566","http","815","663","2023-01-15T11:07:54.907Z","100","723","723"
"45.64.99.145","elite","AS58477","ID","ARGON","224","N/A","4145","socks4","411","1","2023-01-15T11:07:54.735Z","97","805","833"
"58.215.218.170","elite","AS4134","CN","Chinanet","206","Chinanet JS","10800","socks4","894","1","2023-01-15T11:07:54.231Z","97","811","839"
"173.236.179.25","elite","AS26347","US","New Dream Network, LLC","83","New Dream Network, LLC","59540","socks5","767","1","2023-01-15T11:07:54.405Z","100","797","798"
"188.255.244.49","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","36","Orion Telekom Tim d.o.o.Beograd","1080","socks4","419","1","2023-01-15T11:07:54.735Z","100","754","754"
"103.76.190.209","elite","AS135758","IN","Alacriy Net System Service Private Limited","165","Alacriy Net System Service Private Limited","4153","socks4","748","1","2023-01-15T11:07:54.407Z","99","798","803"
"186.211.110.178","elite","AS53062","BR","Ggnet Telecom Backbone","237","Ggnet Telecom Backbone","32346","socks4","354","1","2023-01-15T11:07:54.913Z","95","771","813"
"203.115.123.163","elite","AS17426","IN","PRIMENET","192","Primenet Global Ltd.","9999","socks4","452","1","2023-01-15T11:07:54.906Z","99","834","839"
"181.143.204.98","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","148","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","361","1","2023-01-15T11:07:54.574Z","100","836","840"
"217.117.138.150","elite","AS16290","PL","Tarnowski Osrodek Informacyjny Aleksander Rajski","42","Tarnowski Osrodek Informacyjny","3629","socks4","310","1","2023-01-15T11:07:54.413Z","100","837","839"
"212.50.53.130","elite","AS29286","TR","Skylogic S.P.A.","706","Eser Telekomunikasyon A.S.","5678","socks4","484","1","2023-01-15T11:07:54.410Z","85","682","801"
"195.239.7.182","elite","AS3216","RU","PJSC \"Vimpelcom\"","74","SoVaMTeLePoRT P2P","29895","socks5","431","2","2023-01-15T11:07:54.734Z","39","322","825"
"217.70.28.188","elite","AS29319","RU","Informational-measuring systems","45","Informational-measuring systems Ltd.","8080","http","1059","383","2023-01-15T11:07:54.409Z","100","718","721"
"98.162.96.53","elite","AS22773","US","Cox Communications Inc.","152","Cox Communications","10663","socks5","90","1","2023-01-15T11:07:54.909Z","90","666","744"
"186.251.255.105","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","215","Seanet Telecom Carazinho Eireli","31337","socks4","883","1","2023-01-15T11:07:54.232Z","100","826","826"
"80.90.83.191","elite","AS35444","AL","DIGICOM","51","N/A","5678","socks4","474","1","2023-01-15T11:07:54.562Z","100","807","807"
"191.7.208.101","elite","AS263327","BR","HTM Serviços de Telecomunicações EIRELI","164","HTM SERVICOS DE TELECOMUNICACOES LTDA","31576","socks4","410","1","2023-01-15T11:07:54.611Z","99","832","839"
"195.158.223.130","elite","AS43201","UA","Telematika LLC","87","Torgovyi dom Mashinostroitelnye zavody LLC","4153","socks4","501","1","2023-01-15T11:07:54.409Z","99","830","839"
"180.180.124.248","elite","AS23969","TH","TOT Public Company Limited","162","TOT Public Company Limited","49992","socks4","371","1","2023-01-15T11:07:54.907Z","100","833","837"
"70.60.230.33","elite","AS11426","US","Spectrum","102","Fastlink Communications Inc","32940","socks4","755","1","2023-01-15T11:07:54.406Z","100","837","838"
"216.107.129.135","elite","AS61317","US","Colocation America Corporation","96","Ipxo LLC","10180","socks5","36","1","2023-01-15T11:07:53.731Z","100","764","764"
"146.190.232.76","anonymous","AS14061","NL","DigitalOcean, LLC","18","DigitalOcean, LLC","3128","http","462","209","2023-01-15T11:07:53.512Z","100","721","721"
"142.44.241.192","elite","AS16276","CA","OVH SAS","85","OVH Hosting, Inc.","7497","socks5","376","1","2023-01-15T11:07:53.570Z","100","781","782"
"115.164.146.18","elite","AS4818","MY","DiGi Telecommunications Sdn Bhd., Digi Internet Exchange","193","DiGi Telecommunications Sdn Bhd","13629","socks4","1126","1","2023-01-15T11:07:53.402Z","99","834","839"
"149.20.253.217","elite","AS18615","US","Mainstream Fiber Networks, LLC","99","Mainstream Fiber Networks, LLC","12551","socks4","337","1","2023-01-15T11:07:53.608Z","100","814","815"
"103.88.135.76","elite","AS134942","IN","Ashok Secure Broadband Network Pvt Ltd","183","Ashok Secure Broadband Network Pvt Ltd","5678","socks4","1108","1","2023-01-15T11:07:53.728Z","98","820","837"
"114.242.125.237","elite","AS4808","CN","China Unicom Beijing province network","289","N/A","1080","socks5","357","1","2023-01-15T11:07:53.819Z","95","751","791"
"109.195.187.178","elite","AS52207","RU","CJSC \"ER-Telecom Holding\" Tula branch","65","JSC \"ER-Telecom Holding\" Tula Branch","9150","socks5","1146","1","2023-01-15T11:07:53.401Z","100","835","838"
"109.73.181.133","elite","AS49924","IT","ECROM-MAIN","67","N/A","4145","socks4","453","1","2023-01-15T11:07:53.411Z","66","546","822"
"50.63.13.228","elite","AS398101","US","GoDaddy.com, LLC","133","GoDaddy.com, LLC","11213","socks4","464","1","2023-01-15T11:07:53.006Z","100","765","766"
"167.179.45.56","elite","AS9902","KH","NeocomISP Limited","212","NeocomISP Limited","4153","socks4","961","1","2023-01-15T11:07:53.918Z","95","796","838"
"51.159.163.198","elite","AS12876","FR","SCALEWAY","2","ONLINE","88","socks4","391","1","2023-01-15T11:07:53.505Z","100","739","739"
"177.105.68.171","elite","AS262637","BR","Netprimus Tecnologia Ltda","195","Netprimus Tecnologia Ltda","4153","socks4","1100","1","2023-01-15T11:07:53.729Z","100","772","773"
"45.15.170.94","elite","AS35913","US","DediPath","138","DediPath","32768","socks4","74","1","2023-01-15T11:07:53.732Z","95","716","750"
"181.111.175.236","elite","AS7303","AR","Telecom Argentina S.A","265","Providers S.A","8291","socks4","991","1","2023-01-15T11:07:53.557Z","97","796","824"
"110.78.151.165","elite","AS131090","TH","CAT-BB","214","N/A","4145","socks4","346","1","2023-01-15T11:07:53.733Z","76","601","790"
"199.195.249.15","elite","AS53667","US","FranTech Solutions","73","FranTech Solutions","30085","socks4","139","1","2023-01-15T11:07:53.730Z","100","796","798"
"203.32.120.50","elite","AS209242","VG","Cloudflare London, LLC","2","Anaga Consulting Limited","80","socks4","429","1","2023-01-15T11:07:53.408Z","100","821","821"
"114.246.180.148","elite","AS4808","CN","China Unicom Beijing province network","280","N/A","1080","socks5","1012","1","2023-01-15T11:07:53.915Z","96","775","806"
"95.179.193.202","elite","AS20473","GB","The Constant Company","8","Vultr Holdings LLC London","6689","socks4","1125","1","2023-01-15T11:07:53.727Z","88","667","761"
"67.197.244.98","elite","AS14615","US","Comporium, Inc","107","Comporium, Inc","17557","socks4","1156","1","2023-01-15T11:07:53.400Z","99","757","761"
"134.209.105.160","elite","AS14061","SG","DigitalOcean, LLC","157","DigitalOcean, LLC","59643","socks4","719","1","2023-01-15T11:07:52.511Z","99","759","766"
"85.29.144.114","elite","AS21299","KZ","2DAY Telecom LLP","100","N/A","5678","socks4","896","1","2023-01-15T11:07:52.623Z","30","248","839"
"44.190.8.124","elite","AS133217","AU","AFOYI","225","Amateur Radio Digital Communications","8100","socks4","803","1","2023-01-15T11:07:52.644Z","100","738","739"
"180.211.158.90","elite","AS45588","BD","Bangladesh Telecommunications Company Ltd.","203","N/A","5678","socks4","1015","1","2023-01-15T11:07:52.096Z","92","773","838"
"203.24.109.230","elite","AS209242","BZ","Cloudflare London","1","Umpire Associates LTD","80","socks4","743","1","2023-01-15T11:07:52.507Z","100","826","826"
"94.26.108.67","elite","AS204281","BG","NetX","58","N/A","2580","socks4","463","1","2023-01-15T11:07:52.767Z","69","557","807"
"193.29.63.45","elite","AS63473","US","HostHatch LLC","96","HostHatch LLC","57299","socks4","904","1","2023-01-15T11:07:52.287Z","100","833","834"
"45.70.237.139","elite","AS264668","EC","Nedetel S.A.","164","Nedetel S.A","4145","socks4","1014","1","2023-01-15T11:07:52.997Z","99","824","829"
"31.223.22.21","elite","AS12735","TR","TurkNet Iletisim Hizmetleri A.S.","69","TurkNet Iletisim Hizmetleri","1080","socks4","509","1","2023-01-15T11:07:52.641Z","100","832","835"
"45.196.151.73","elite","AS7018","US","AT&T Services","108","AQUA Networks Limited","5432","socks4","794","1","2023-01-15T11:07:52.510Z","98","749","768"
"138.118.200.182","anonymous","AS270073","VE","Iguana Network Services C.A.","158","Iguana Network Services C.A","999","http","919","562","2023-01-15T11:07:52.339Z","98","709","721"
"201.11.38.204","elite","AS8167","BR","V tal","204","Brasil Telecom Comunicacao Multimidia S.A","8081","socks4","874","1","2023-01-15T11:07:52.354Z","100","793","794"
"104.17.37.235","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1047","1","2023-01-15T11:07:52.283Z","100","831","831"
"37.34.72.132","elite","AS198399","IT","FASTCON","30","N/A","4145","socks4","442","1","2023-01-15T11:07:52.646Z","82","626","762"
"177.38.5.19","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","256","FÁBIO MENDES DIAS LTDA ME","4153","socks4","856","1","2023-01-15T11:07:52.509Z","93","767","822"
"184.178.172.11","elite","AS22773","US","Cox Communications Inc.","147","Cox Communications Inc.","4145","socks5","919","1","2023-01-15T11:07:52.113Z","100","723","724"
"181.209.106.188","elite","AS52361","AR","ARSAT - Empresa Argentina de Soluciones Satelitales S.A","235","AYD.com S.R.L","1080","socks4","1092","1","2023-01-15T11:07:52.119Z","99","833","839"
"158.101.1.100","elite","AS31898","US","Oracle Corporation","136","Oracle Cloud Infrastructure (us-phoenix-1)","42171","socks5","1023","1","2023-01-15T11:07:52.996Z","96","708","734"
"110.78.182.221","elite","AS131090","TH","CAT-BB","192","N/A","4145","socks4","452","1","2023-01-15T11:07:52.770Z","95","717","755"
"37.26.86.206","elite","AS198279","AL","ATU","39","N/A","4145","socks4","938","1","2023-01-15T11:07:52.619Z","100","781","782"
"81.12.124.38","elite","AS42337","IR","Respina Networks & Beyond PJSC","122","Respina Networks","4145","socks4","382","1","2023-01-15T11:07:52.858Z","94","678","723"
"177.85.205.173","elite","AS52554","BR","S. A. da Silva Junior","180","S. A. da Silva Junior","3629","socks4","967","1","2023-01-15T11:07:52.998Z","100","815","816"
"202.159.35.201","elite","AS9340","ID","PT IndoInternet","173","N/A","443","socks4","956","1","2023-01-15T11:07:52.999Z","100","825","827"
"217.198.181.50","elite","AS48031","UA","PE Ivanov Vitaliy Sergeevich","50","Proline IT Ltd","49582","socks4","473","2","2023-01-15T11:07:52.862Z","99","779","783"
"217.115.213.186","elite","AS9050","RO","Orange Romania Communication S.A","45","Orange Romania Communications","4145","socks4","1073","1","2023-01-15T11:07:52.125Z","100","764","765"
"159.203.61.169","elite","AS14061","CA","DigitalOcean, LLC","93","Digital Ocean","8080","http","994","417","2023-01-15T11:07:52.623Z","100","838","838"
"168.227.158.81","elite","AS52898","BR","Multipla Serviços Inteligentes","198","Multipla Serviços Inteligentes","4145","socks4","904","1","2023-01-15T11:07:52.622Z","100","837","838"
"103.47.93.216","elite","AS134058","IN","Broban Internet Services Pvt.ltd","222","Broban  PVT Ltd.","1080","socks4","913","1","2023-01-15T11:07:52.622Z","100","819","822"
"200.41.60.33","elite","AS3549","AR","Level 3 Communications, Inc.","226","Internet Services S.A","4153","socks4","472","1","2023-01-15T11:07:52.859Z","99","832","839"
"149.20.253.103","elite","AS18615","US","Mainstream Fiber Networks, LLC","99","Mainstream Fiber Networks, LLC","12551","socks4","1117","1","2023-01-15T11:07:51.911Z","100","798","799"
"8.219.102.57","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","320","Alibaba.com Singapore E-Commerce Private Limited","443","socks5","1090","1","2023-01-15T11:07:51.628Z","82","659","808"
"103.245.164.79","anonymous","AS56309","TH","Siamdata Communication Co.","176","Siamdata (Lao) Co., Ltd","3128","https","997","375","2023-01-15T11:07:51.629Z","99","772","780"
"212.83.143.151","elite","AS12876","FR","Online S.A.S.","1","ONLINE","43756","socks5","945","1","2023-01-15T11:07:51.894Z","100","835","837"
"149.20.253.66","elite","AS18615","US","Mainstream Fiber Networks, LLC","99","Mainstream Fiber Networks, LLC","12551","socks4","1031","1","2023-01-15T11:07:51.346Z","100","777","780"
"202.152.143.64","anonymous","AS23951","ID","PT Jembatan Citra Nusantara","219","N/A","3128","http","908","306","2023-01-15T11:07:51.349Z","100","835","838"
"103.192.76.36","elite","AS55915","NP","Classic Tech Pvt. Ltd.","170","Classic Support Pvt. Ltd","5678","socks4","671","1","2023-01-15T11:07:51.608Z","80","669","833"
"182.23.108.164","elite","AS4800","ID","PT Aplikanusa Lintasarta","205","N/A","4153","socks4","527","1","2023-01-15T11:07:51.326Z","97","793","814"
"103.211.8.189","elite","AS135691","IN","Cloudlasers Broadband","133","N/A","44581","socks4","1004","1","2023-01-15T11:07:51.347Z","100","806","807"
"179.56.238.64","elite","AS14117","CL","Telefonica del Sur S.A.","222","Telefonica del Sur S.A","999","socks4","994","1","2023-01-15T11:07:51.349Z","100","755","756"
"165.227.66.216","elite","AS14061","US","DigitalOcean, LLC","80","Digital Ocean","33636","socks4","1041","1","2023-01-15T11:07:51.345Z","100","740","740"
"103.94.133.93","elite","AS136128","ID","PT CITRA AKSES INDONUSA","185","PT CITRA AKSES INDONUSA","4153","socks4","537","1","2023-01-15T11:07:51.325Z","99","828","836"
"210.61.216.66","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","216","Chunghwa Telecom Co. Ltd.","33990","socks4","119","1","2023-01-15T11:07:50.534Z","100","837","837"
"105.213.95.78","elite","AS16637","ZA","MTN SA","187","MTN SA","5678","socks4","972","1","2023-01-15T11:07:50.041Z","96","805","836"
"106.3.142.85","elite","AS23724","CN","IDC, China Telecommunications Corporation","224","Beijing capitalonline data service co., LTD","4153","socks4","888","1","2023-01-15T11:07:50.994Z","98","820","838"
"159.138.54.27","elite","AS136907","HK","Huawei International Pte. Ltd.","248","N/A","24388","socks5","972","1","2023-01-15T11:07:50.988Z","100","778","780"
"201.159.103.97","elite","AS28539","MX","Creatividad Internet Enlaces, S.A. de C.V.","177","Creatividad Internet Enlaces, S.A. de C.V","31337","socks4","391","1","2023-01-15T11:07:50.285Z","96","792","828"
"66.33.210.111","elite","AS26347","US","New Dream Network, LLC","83","New Dream Network, LLC","17567","socks5","866","1","2023-01-15T11:07:50.281Z","100","822","822"
"190.103.29.101","elite","AS264628","VE","CORPORACION FIBEX TELECOM, C.A.","158","CORPORACION FIBEX TELECOM, C.A","4145","socks4","380","1","2023-01-15T11:07:50.286Z","100","835","839"
"191.102.82.83","elite","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","156","TV AZTECA SUCURSAL COLOMBIA","4153","socks4","898","1","2023-01-15T11:07:50.276Z","99","828","838"
"157.90.221.147","anonymous","AS24940","DE","Hetzner Online GmbH","16","N/A","3128","http","660","2320","2023-01-15T11:07:50.051Z","98","709","722"
"38.127.179.194","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","11537","socks4","948","1","2023-01-15T11:07:50.991Z","100","768","770"
"186.97.144.98","elite","AS27831","CO","Colombia Móvil","144","Colombia Móvil","5678","socks4","636","1","2023-01-15T11:07:50.284Z","100","768","770"
"154.79.249.72","elite","AS36926","KE","Airtel KE Mobile & Fixed Internet","180","N/A","5678","socks4","955","1","2023-01-15T11:07:50.986Z","60","501","838"
"187.85.154.18","elite","AS53062","BR","Ggnet Telecom Backbone","208","Ggnet Telecom Backbone","5678","socks4","196","1","2023-01-15T11:07:50.287Z","99","764","771"
"119.82.226.232","elite","AS24213","ID","PT. Arsen Kusuma Indonesia","213","N/A","7497","socks5","228","1","2023-01-15T11:07:50.287Z","99","829","840"
"103.1.93.184","elite","AS55915","NP","Classic Tech Pvt. Ltd","172","ClassicTech","55443","http","987","621","2023-01-15T11:07:50.041Z","98","713","730"
"62.33.136.222","anonymous","AS20485","RU","Joint Stock Company TransTeleCom","55","Andreeva","8080","http","1027","504","2023-01-15T11:07:50.282Z","98","713","724"
"105.213.99.114","elite","AS16637","ZA","MTN SA","188","MTN SA","5678","socks4","1042","6","2023-01-15T11:07:50.039Z","97","750","777"
"189.90.241.30","elite","AS28201","BR","Companhia Itabirana Telecomunicações Ltda","208","Restaurante E Posto Pires Ltda","63253","socks4","98","1","2023-01-15T11:07:50.534Z","88","742","839"
"38.143.136.30","elite","AS174","CA","Cogent Communications","92","eTor Networks","5678","socks4","1004","1","2023-01-15T11:07:50.621Z","99","763","773"
"103.58.75.29","elite","AS134204","BD","BUSINESSNETWORK","192","N/A","5678","socks4","415","1","2023-01-15T11:07:50.285Z","97","765","791"
"91.216.254.14","elite","AS212918","ES","Clicktel SL","50","Clicktel SL","55555","socks4","682","1","2023-01-15T11:07:50.283Z","100","837","839"
"103.77.227.161","elite","AS64298","ID","UPN Veteran Surabaya","181","UPN Veteran Surabaya","4153","socks4","875","1","2023-01-15T11:07:50.278Z","98","818","838"
"170.254.255.240","elite","AS52584","BR","Connect Fibra","208","Connect Fibra","45816","socks4","370","1","2023-01-15T11:07:50.286Z","96","779","808"
"167.172.23.19","elite","AS14061","US","DigitalOcean, LLC","78","DigitalOcean, LLC","64065","socks5","910","7","2023-01-15T11:07:50.993Z","99","832","838"
"95.216.201.74","elite","AS24940","FI","Hetzner Online GmbH","38","HETZNER-DC","1080","socks5","928","1","2023-01-15T11:07:50.992Z","100","761","761"
"116.118.98.21","elite","AS7602","VN","Saigon Postel Corporation","277","N/A","5678","socks4","997","1","2023-01-15T11:07:50.040Z","97","790","812"
"46.227.37.145","elite","AS51155","PL","Telemedian - TB Telecom","36","Telemedian","1088","socks4","1068","1","2023-01-15T11:07:50.037Z","100","746","749"
"187.157.30.202","elite","AS8151","MX","Uninet S.A. de C.V.","160","Uninet S.A. de C.V.","4153","socks4","827","1","2023-01-15T11:07:50.282Z","99","817","825"
"170.78.92.30","elite","AS265500","BR","Almeirim Telecom Ltda - ME","232","Rede Ultra MF Telecom","5678","socks4","961","1","2023-01-15T11:07:50.622Z","98","824","838"
"89.249.253.10","elite","AS31370","RU","Mosline ISP","52","OOO Montaj Telecom Service","80","socks4","1060","1","2023-01-15T11:07:50.038Z","100","734","736"
"111.67.197.147","elite","AS4808","CN","China Unicom Beijing Province Network","296","Beijing yiantianxia Network Science&Technology Co Ltd.","6666","socks5","842","1","2023-01-15T11:07:50.281Z","99","805","813"
"112.87.89.192","elite","AS4837","CN","China Unicom CHINA169 Jiangsu Province Network","204","N/A","8089","socks4","659","1","2023-01-15T11:07:50.283Z","88","645","735"
"177.184.72.22","elite","AS52898","BR","Multipla Serviços Inteligentes","215","Multipla Serviços Inteligentes","4145","socks4","106","1","2023-01-15T11:07:50.533Z","100","833","837"
"185.208.175.40","anonymous","AS60631","IR","Pars Parva System Ltd","122","N/A","3133","http","238","461","2023-01-15T11:07:49.080Z","91","655","719"
"82.114.99.202","anonymous","AS21353","RU","Tehdilinvest Company","44","ArtCommunications Ltd.","1256","https","979","683","2023-01-15T11:07:49.368Z","99","782","786"
"187.86.129.132","elite","AS53066","BR","VETORIALNET INF. E SERVIÇOS DE INTERNET LTDA","239","VETORIALNET INF. E SERVI�OS DE INTERNET LTDA","63253","socks4","954","1","2023-01-15T11:07:49.068Z","100","812","813"
"138.185.236.121","elite","AS263919","BR","Powertech Informatica","215","Egla Alves Bispo - ME","5678","socks4","919","1","2023-01-15T11:07:49.070Z","99","784","791"
"113.160.106.45","elite","AS45899","VN","VietNam Post and Telecom Corporation","192","Vietnam Posts and Telecommunications Group","4153","socks4","1007","1","2023-01-15T11:07:49.366Z","93","783","838"
"110.78.149.121","elite","AS131090","TH","CAT-BB","184","N/A","4145","socks4","998","1","2023-01-15T11:07:49.367Z","87","728","839"
"103.47.93.193","elite","AS134058","IN","Broban Internet Services Pvt.ltd","220","Broban  PVT Ltd.","1080","socks4","911","1","2023-01-15T11:07:49.070Z","100","774","777"
"45.112.125.57","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","1011","1","2023-01-15T11:07:49.735Z","100","804","807"
